idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
SPORT001;02/02/2022 15:35;02/02/2022 15:55;DNI0211;BLACK01;1;15 €;-4 €
SPORT002;02/02/2022 15:35;02/02/2022 15:55;DNI0212;BLACK01;1;34 €;2 €
SPORT003;02/02/2022 15:35;02/02/2022 15:55;DNI0213;BLACK01;1;7 €;1 €
SPORT004;02/02/2022 15:35;02/02/2022 15:55;DNI0214;BLACK01;1;22 €;0 €
SPORT005;02/02/2022 15:35;02/02/2022 15:55;DNI0215;BLACK02;1;12 €;-3 €
SPORT006;02/02/2022 15:35;02/02/2022 15:55;DNI0216;BLACK02;1;35 €;-3 €
SPORT007;02/02/2022 15:35;02/02/2022 15:55;DNI0217;BLACK02;1;37 €;0 €
SPORT008;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;1;46 €;-2 €
SPORT009;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;2;7 €;2 €
SPORT010;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;3;5 €;1 €
SPORT011;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;4;35 €;1 €
SPORT012;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;5;41 €;5 €
SPORT013;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;6;43 €;5 €
SPORT014;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;7;20 €;2 €
SPORT015;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;8;35 €;-3 €
SPORT016;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK03;9;30 €;-5 €
SPORT017;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK04;1;36 €;4 €
SPORT018;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK05;2;24 €;1 €
SPORT019;02/06/2022 10:00;02/06/2022 10:30;DNI0218;BLACK06;3;34 €;5 €
SPORT020;02/07/2022 16:00;02/07/2022 18:00;DNI0230;BLACK15;1;6 €;0 €
SPORT021;02/07/2022 16:00;02/07/2022 18:00;DNI0231;BLACK15;1;10 €;-1 €
SPORT022;02/07/2022 16:00;02/07/2022 18:00;DNI0232;BLACK15;1;42 €;-5 €
SPORT023;02/07/2022 16:00;02/07/2022 18:00;DNI0233;BLACK15;1;23 €;3 €
SPORT024;02/07/2022 16:00;02/07/2022 18:00;DNI0234;BLACK15;1;29 €;-5 €
SPORT025;02/07/2022 16:00;02/07/2022 18:00;DNI0235;BLACK30;1;20 €;-1 €
SPORT026;02/07/2022 16:00;02/07/2022 18:00;DNI0236;BLACK30;1;43 €;-4 €
SPORT027;02/07/2022 16:00;02/07/2022 18:00;DNI0237;BLACK30;1;31 €;-4 €
SPORT028;02/07/2022 16:00;02/07/2022 18:00;DNI0238;BLACK30;1;16 €;-4 €
SPORT029;02/07/2022 16:00;02/07/2022 18:00;DNI0239;BLACK30;1;27 €;3 €
SPORT030;02/07/2022 16:00;02/07/2022 18:00;DNI0240;BLACK30;1;20 €;4 €
SPORT031;02/07/2022 16:00;02/07/2022 18:00;DNI0241;BLACK35;1;33 €;-1 €
SPORT032;02/07/2022 16:00;02/07/2022 18:00;DNI0242;BLACK35;1;8 €;-5 €
SPORT033;02/07/2022 16:00;02/07/2022 18:00;DNI0243;BLACK35;1;46 €;-2 €
SPORT034;02/07/2022 16:00;02/07/2022 18:00;DNI0244;BLACK35;1;11 €;-3 €
SPORT035;02/07/2022 16:00;02/07/2022 18:00;DNI0245;BLACK35;1;9 €;-3 €
SPORT036;02/07/2022 16:00;02/07/2022 18:00;DNI0246;BLACK35;1;8 €;-3 €
SPORT037;02/07/2022 16:00;02/07/2022 18:00;DNI0247;BLACK35;1;39 €;2 €
SPORT038;02/07/2022 16:00;02/07/2022 18:00;DNI0248;BLACK35;1;16 €;-3 €
SPORT039;02/07/2022 16:00;02/07/2022 18:00;DNI0249;BLACK35;1;43 €;-2 €
SPORT040;02/07/2022 16:00;02/07/2022 18:00;DNI0250;BLACK35;1;48 €;-1 €
SPORT041;02/07/2022 16:00;02/07/2022 18:00;DNI0251;BLACK35;1;6 €;2 €
SPORT042;02/07/2022 16:00;02/07/2022 18:00;DNI0252;BLACK37;1;38 €;-1 €
SPORT043;02/07/2022 16:00;02/07/2022 18:00;DNI0253;BLACK37;1;42 €;-3 €
SPORT044;02/07/2022 16:00;02/07/2022 18:00;DNI0254;BLACK37;1;34 €;3 €
SPORT045;02/07/2022 16:00;02/07/2022 18:00;DNI0255;BLACK37;1;46 €;5 €
SPORT046;02/07/2022 16:00;02/07/2022 18:00;DNI0256;BLACK37;1;34 €;2 €
