idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
BWIN001;02/02/2022 15:35;02/02/2022 15:55;DNI0311;LIGA01;1;18 €;6 €
BWIN002;02/02/2022 15:35;02/02/2022 15:55;DNI0312;LIGA01;1;13 €;-11 €
BWIN003;02/02/2022 15:35;02/02/2022 15:55;DNI0313;LIGA01;1;47 €;-6 €
BWIN004;02/02/2022 15:35;02/02/2022 15:55;DNI0314;LIGA01;1;8 €;9 €
BWIN005;02/02/2022 15:35;02/02/2022 15:55;DNI0315;LIGA02;1;31 €;-11 €
BWIN006;02/02/2022 15:35;02/02/2022 15:55;DNI0316;LIGA02;1;36 €;8 €
BWIN007;02/02/2022 15:35;02/02/2022 15:55;DNI0317;LIGA02;1;36 €;-2 €
BWIN008;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;1;56 €;-7 €
BWIN009;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;2;4 €;-7 €
BWIN010;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;3;46 €;10 €
BWIN011;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;4;43 €;2 €
BWIN012;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;5;60 €;2 €
BWIN013;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;6;23 €;9 €
BWIN014;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;7;37 €;-3 €
BWIN015;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;8;38 €;-10 €
BWIN016;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA03;9;9 €;-5 €
BWIN017;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA04;1;44 €;3 €
BWIN018;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA05;2;24 €;1 €
BWIN019;02/06/2022 10:00;02/06/2022 10:30;DNI0318;LIGA06;3;59 €;-2 €
BWIN020;02/07/2022 16:00;02/07/2022 18:00;DNI0330;LIGA15;1;49 €;-11 €
BWIN021;02/07/2022 16:00;02/07/2022 18:00;DNI0331;LIGA15;1;32 €;2 €
BWIN022;02/07/2022 16:00;02/07/2022 18:00;DNI0332;LIGA15;1;46 €;4 €
BWIN023;02/07/2022 16:00;02/07/2022 18:00;DNI0333;LIGA15;1;10 €;-8 €
BWIN024;02/07/2022 16:00;02/07/2022 18:00;DNI0334;LIGA15;1;16 €;-14 €
BWIN025;02/07/2022 16:00;02/07/2022 18:00;DNI0335;LIGA30;1;7 €;5 €
BWIN026;02/07/2022 16:00;02/07/2022 18:00;DNI0336;LIGA30;1;52 €;-4 €
BWIN027;02/07/2022 16:00;02/07/2022 18:00;DNI0337;LIGA30;1;21 €;0 €
BWIN028;02/07/2022 16:00;02/07/2022 18:00;DNI0338;LIGA30;1;34 €;-15 €
BWIN029;02/07/2022 16:00;02/07/2022 18:00;DNI0339;LIGA30;1;38 €;-10 €
BWIN030;02/07/2022 16:00;02/07/2022 18:00;DNI0340;LIGA30;1;47 €;7 €
BWIN031;02/07/2022 16:00;02/07/2022 18:00;DNI0341;LIGA35;1;43 €;8 €
BWIN032;02/07/2022 16:00;02/07/2022 18:00;DNI0342;LIGA35;1;32 €;-11 €
BWIN033;02/07/2022 16:00;02/07/2022 18:00;DNI0343;LIGA35;1;60 €;-8 €
BWIN034;02/07/2022 16:00;02/07/2022 18:00;DNI0344;LIGA35;1;41 €;-5 €
BWIN035;02/07/2022 16:00;02/07/2022 18:00;DNI0345;LIGA35;1;7 €;8 €
BWIN036;02/07/2022 16:00;02/07/2022 18:00;DNI0346;LIGA35;1;10 €;4 €
BWIN037;02/07/2022 16:00;02/07/2022 18:00;DNI0347;LIGA35;1;2 €;-12 €
BWIN038;02/07/2022 16:00;02/07/2022 18:00;DNI0348;LIGA35;1;42 €;10 €
BWIN039;02/07/2022 16:00;02/07/2022 18:00;DNI0349;LIGA35;1;57 €;-7 €
BWIN040;02/07/2022 16:00;02/07/2022 18:00;DNI0350;LIGA35;1;3 €;-14 €
BWIN041;02/07/2022 16:00;02/07/2022 18:00;DNI0351;LIGA35;1;29 €;4 €
BWIN042;02/07/2022 16:00;02/07/2022 18:00;DNI0352;LIGA37;1;28 €;9 €
BWIN043;02/07/2022 16:00;02/07/2022 18:00;DNI0353;LIGA37;1;16 €;4 €
BWIN044;02/07/2022 16:00;02/07/2022 18:00;DNI0354;LIGA37;1;27 €;9 €
BWIN045;02/07/2022 16:00;02/07/2022 18:00;DNI0355;LIGA37;1;43 €;0 €
BWIN046;02/07/2022 16:00;02/07/2022 18:00;DNI0356;LIGA37;1;51 €;-1 €
