idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
BETFAIR001;02/02/2022 15:35;02/02/2022 15:55;DNI0211;RULETA01;1;9 €;-9 €
BETFAIR002;02/02/2022 15:35;02/02/2022 15:55;DNI0212;RULETA01;1;6 €;0 €
BETFAIR003;02/02/2022 15:35;02/02/2022 15:55;DNI0213;RULETA01;1;0 €;18 €
BETFAIR004;02/02/2022 15:35;02/02/2022 15:55;DNI0214;RULETA01;1;9 €;3 €
BETFAIR005;02/02/2022 15:35;02/02/2022 15:55;DNI0215;RULETA02;1;4 €;-3 €
BETFAIR006;02/02/2022 15:35;02/02/2022 15:55;DNI0216;RULETA02;1;3 €;5 €
BETFAIR007;02/02/2022 15:35;02/02/2022 15:55;DNI0217;RULETA02;1;0 €;-9 €
BETFAIR008;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;1;9 €;17 €
BETFAIR009;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;2;2 €;2 €
BETFAIR010;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;3;7 €;-6 €
BETFAIR011;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;4;6 €;16 €
BETFAIR012;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;5;10 €;25 €
BETFAIR013;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;6;10 €;3 €
BETFAIR014;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;7;1 €;6 €
BETFAIR015;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;8;1 €;10 €
BETFAIR016;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA03;9;7 €;12 €
BETFAIR017;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA04;1;5 €;7 €
BETFAIR018;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA05;2;8 €;20 €
BETFAIR019;02/06/2022 10:00;02/06/2022 10:30;DNI0218;RULETA06;3;5 €;3 €
BETFAIR020;02/07/2022 16:00;02/07/2022 18:00;DNI0230;RULETA15;1;1 €;5 €
BETFAIR021;02/07/2022 16:00;02/07/2022 18:00;DNI0231;RULETA15;1;2 €;-6 €
BETFAIR022;02/07/2022 16:00;02/07/2022 18:00;DNI0232;RULETA15;1;8 €;12 €
BETFAIR023;02/07/2022 16:00;02/07/2022 18:00;DNI0233;RULETA15;1;7 €;18 €
BETFAIR024;02/07/2022 16:00;02/07/2022 18:00;DNI0234;RULETA15;1;0 €;-1 €
BETFAIR025;02/07/2022 16:00;02/07/2022 18:00;DNI0235;RULETA30;1;4 €;2 €
BETFAIR026;02/07/2022 16:00;02/07/2022 18:00;DNI0236;RULETA30;1;4 €;-3 €
BETFAIR027;02/07/2022 16:00;02/07/2022 18:00;DNI0237;RULETA30;1;9 €;-7 €
BETFAIR028;02/07/2022 16:00;02/07/2022 18:00;DNI0238;RULETA30;1;5 €;22 €
BETFAIR029;02/07/2022 16:00;02/07/2022 18:00;DNI0239;RULETA30;1;2 €;13 €
BETFAIR030;02/07/2022 16:00;02/07/2022 18:00;DNI0240;RULETA30;1;10 €;23 €
BETFAIR031;02/07/2022 16:00;02/07/2022 18:00;DNI0241;RULETA35;1;7 €;22 €
BETFAIR032;02/07/2022 16:00;02/07/2022 18:00;DNI0242;RULETA35;1;6 €;21 €
BETFAIR033;02/07/2022 16:00;02/07/2022 18:00;DNI0243;RULETA35;1;5 €;7 €
BETFAIR034;02/07/2022 16:00;02/07/2022 18:00;DNI0244;RULETA35;1;3 €;18 €
BETFAIR035;02/07/2022 16:00;02/07/2022 18:00;DNI0245;RULETA35;1;6 €;-5 €
BETFAIR036;02/07/2022 16:00;02/07/2022 18:00;DNI0246;RULETA35;1;0 €;12 €
BETFAIR037;02/07/2022 16:00;02/07/2022 18:00;DNI0247;RULETA35;1;6 €;-4 €
BETFAIR038;02/07/2022 16:00;02/07/2022 18:00;DNI0248;RULETA35;1;0 €;15 €
BETFAIR039;02/07/2022 16:00;02/07/2022 18:00;DNI0249;RULETA35;1;7 €;25 €
BETFAIR040;02/07/2022 16:00;02/07/2022 18:00;DNI0250;RULETA35;1;3 €;20 €
BETFAIR041;02/07/2022 16:00;02/07/2022 18:00;DNI0251;RULETA35;1;2 €;14 €
BETFAIR042;02/07/2022 16:00;02/07/2022 18:00;DNI0252;RULETA37;1;9 €;17 €
BETFAIR043;02/07/2022 16:00;02/07/2022 18:00;DNI0253;RULETA37;1;3 €;13 €
BETFAIR044;02/07/2022 16:00;02/07/2022 18:00;DNI0254;RULETA37;1;0 €;1 €
BETFAIR045;02/07/2022 16:00;02/07/2022 18:00;DNI0255;RULETA37;1;2 €;1 €
BETFAIR046;02/07/2022 16:00;02/07/2022 18:00;DNI0256;RULETA37;1;4 €;15 €
